Title	Review
Good	Really good but a bit laggy at times on the hole it’s a good game
Lag	"The game is good in general but it won’t stop lagging and it won’t let me play sometimes it .😭😭😭

Also it keeps opening the leave match screen when I don’t even press the button🤨😤"
NAMES	Can we at least change our name without signing into a new account
Lag	"Too
Much 
Lag"
Thanks real thanks😡😡😡😡😡	Thanks epic u just made me want to break my phone and sell my Xbox
Okay, so.....	It’s pretty fun for about 20  minutes but then you get bored, like don’t get me wrong I am on level 198 but still it needs some new things to make it more fun and interesting so I don’t get bored too quickly.
Jrjdjudjdjxjcj	Rjdjjfd
Separate mobile and switch	I think I speak for many mobile players can u plz separate mobile and switch players many switch players get easy wins
Fall damage	I personally think fall damage does too much
Why I like fortnite	I think it’s really fun to play if you don’t have a console or PC and I can play it any where and when I want👍👍👍👏👏👏😃
I want to play on iPhone 6	I have been playing on ps4 and pc since season 2 but my mom and dad just got me a phone I was so happy to download fortnite and it said it would not work I was really upset but I still play it it is a really fun game
Fortnite whyyyyyy	Dear fortnite I like your game but I am being hacked constantly so do something about I am getting harassed by your players I am only 10 and  I am being cursed at sooooo please respond soon
Bugs bugs bugs	This app is garbage, another could have been great app that was rushed out the door to make money before it was anywhere close to ready! Extra life, watch video, die instantly in the middle of your own territory. Cross an enemy line they don’t die etc. Waste of money. Consecutive day play bug. Of course. On and on. Developers clearly do not pay attention this and update at all, because I’ve read and confirmed these issues in hundred of reader boards and reddit’s. want my money back.
😁	Love this game in my opinion it’s the best game ever keep it up. (And plz can u make a no sweat gameode)
My review	I love it except there’s so many updates.
Commercials Too Long	Love the game but there are way too many commercials. I don’t mind a few but 30 seconds is way too long for each one!!!!
It’s great	The only thing is that Fortnite makes mobile hard
Why does it not support	Fortnite supports on other devices but they don’t support these devices if these devices were supported  it will have bad graphics and going to be laggy all the time and will keep on crashing please take fortnite off mobile for a bit and fix the game and then add it back when it is really good and stops crashing and has good graphics and stop being glitchy and laggy
Bad game for the first time voodoo:(	👎
Really good game🙂	I like the hoverboards. They are the best. The only thing that I don’t like is the infantry rifle. Its accuracy is just terrible. I like the game. KEEP up the good work and [ADD THE DRUM GUN BACK]
Plz add mics back In	I wanna talk to my mates but you took it out
Great game	I love this game much more than every other pay to win survival game. However, the energy meter when traveling seems to get a little annoying after only 3 trips. But nearly every other aspect of the game is great, I like the fact that I am  able to have a pet now (I used to just trap a wolf in a room and cal it my dog😂) 5 out of 5 stars because I know that this game will get even better the more time we give it.
I love this game	This game is just so much fun and I just hope they come out a lot more fun stuff and New Year’s and overpower weapons so I can just have a lot more for him and thank you for the lobby been so much easier
Crash and lag	Sometime when I play it start crashing or lag so hard it makes me so annoyed, but still great game
I love fortnite but.......	I can’t play on mobile it doesn’t work my ping is at 1000 constantly I can’t move most of the time sometimes I can’t even stay a game because my game crashes all the time, epic needs to fix these problems I can’t even fight people because I stop moving when I get near a single person, I can’t land in the bigger places because they don’t load for me, if they don’t fix this I’m going to stop playing because it’s making me very mad and I almost broke my phone because I was fighting some one I was about to kill them and then *poof* just stopped moving completely they NEED to fix mobiles problems
Best game ever	I love epic games
I love it	I have been playing this game since season 5 and I have loved it ever since
It takes sooooo long to get in.	I play fortnite a lot and I wanted to play on mobile. But when I download it it takes forever to load in. I started and there was at least 3 loading screens in a row and it’s just annoying
It’s trash	I don’t know why people still play this but it’s absolute trash I would give it one star if I could I’m going back to Minecraft a actually good game. I hope this game dies because that what this type of game deserves.
Glitches out	I only give a three because it is a fun and addictive game but it constantly glitches out.  Every time I get past 48% it takes everything away and I either have no base ground to connect to or I have a little dot.  It is frustrating as you spend a lot of time to get to 48%.  Hopefully they get this fixed
I love it	It is fun amusing and fun fun and there is some of my best friend s on there thank you epic gams and apple ok ok back to solos
PS4	Epic games congratulations you were the first game community that got me to buy and iPhone to try Fortnite I like it but I am going to buy a PS4
Used to be better	Fortnite was honestly the best in season 3 when there was rarely any hackers or sweats and had way better item shops and locations on the map now it is updating way too much and is going down hill every update.
My g 💩💩💩	Your game is 💩💩💩💩💩 get rid of new shotgun it’s trash
Won’t let you get 100%	I have gotten up to 80% of the map covered and then it will suddenly white out and everything I had covered is white and I get killed. I’ve done this 5 times. Also, why can’t you make it interactive with real players like slither.io?
Compatibility	Although I do enjoy this game on PS4, I want to play on my phone but it’s not compatible. Can you guys make it compatible for at least all versions of the iPhone 6?
Love hate relationship	The game is great but makes me pissed👿
iPhone 6s Plus problem.	I can’t play, it says you need 2gb and I have a lot of gb .
Lag	This is a good game but theirs lag and I was playing a game and then I was lagged off of Fortnite when I was playing good
Update	Can there be a trading update please
Uhhh	Why takes so long for the update to be released? I have to wait almost all day to update causing me to actually work at work.....
Idk and idc	Lalalalalalallalalaaalallalala pppl ya I lalalallalalalappl cheat lalalallalalalalalallaslall
Ok but some problems	It’s a good game, but after the new update my phone was laggy and it started crashing a lot of times and then it takes minutes for it to load again
Problems with your none-epic game, epic games.	"Duuuuuuuuuuuuude. Mobile players.. it’s so unfair for us! I’m trying to update fortnite and it just freezes at some points and says there is a error. Fix.it. 

MAKE IT FAIR TO MOBILE PLAYERS!!!!!!!
I used to love fortnite. Now, it’s just a PAIN•IN•THE•ASS
FIX•YOUR•GAME• and actually make it epic. Your name is epicgames and none of yours games are even epic.. make this one epic."
To Dad mom Tony Campo’s Scarlet Deas	I love fortnight but I am trying my hardest to get off but Epicgames is doing so much so I’m trying To get the battle pass my birthday 🎁😔😔😔😍👌🏾👌🏾👌🏾👌🏾👌🏾👌🏾👌🏾
Awful	Ok the quality is decent but there are so many glitches they need to fix it oh wait they are too lazy and busy making dumb and cringey ads for there other glitchy game .I can’t wait to delete this waste of storage which only exists to take up storage and drop trash wherever it goes.
Thank you	For your gift and your game
This game is the worst	This game needs to work with iPod touch because kids like me want to play fortnite too
Don’t Play This	I started playing Fortnite around the beginning of season four and i quit around a month ago because this game just keeps getting worse and worse, 95% of the time, you get lasered by a bot using auto fire, the weapons are unbalanced, the game runs horribly on even high end devices (I used to use an iPad Pro 2017) and worst of all, Epic Games doesn’t listen to the community, especially the mobile community, they need to understand that not all mobile players play just to pass time, there are hardcore mobile players and before I quit, I used to be one of them. Not only that, the game didn’t age well, games such as Minecraft got better over time, but a game like Fortnite gets worse with every update or season that comes out, I started to get bored around season 7, by that time, the game was just a chore to play, by season 8, the game had lost 80% of what used to make it great. By the time that the pump was vaulted, I had enough of this game and quit, and I am happy to say that Fortnite is garbage and I wouldn’t recommend it, definitely stick to any other game.
Fortnite	I used to be a defaulty boi but now I’m a one skinned wonder
Really great but I disagree with some	I really love the game but I don’t like  how when you shout them it takes forever
Could be better	Too many ads
Disappointed 17 year old	If I could give this a negative I would because i worked for 5 months on this game and got to level 9,458 i believe or probably higher than that but now when i tried to update the app now it will stay on too h8 games screen and eventually exit out the game it wasted my 5 months of work i couldn’t even make it to level 10,000 I'm very disappointed and this game yall need to fix this if yall want to keep y’ all customers because I'm not very pleased
Way to many ads	Every time I die an ad pops up when I start an ad but a good game it’s fun
Application	"I really like this app because you have to really enjoy but there is a problem 😭 there should be one for younger kids but I think it is amazing kids or adults have to beat there high score and they keep trying to beat it every single time 

👽😭🎉🍨😂😒😊😩😏👍😀😁😂🙃😍😗😋😜🧐🤩😒😟☹️😫😢🤯🥶😰🤗🤫😐🙄🙄😧😴🤢😷🤑👿🤡💀👾😻😺🙀👎🤲👏🏿🤛🏿✌🏿👌👆✋🖖🏼💪🏽🙏🏻💄🦷👃🏿👀👤👧🏻👩🏼👩🏼‍🦱👨🏻‍🦰👩🏻‍🦳👨🏻‍🦲🧓🏻👳🏼‍♀️👮🏼‍♀️👷🏼‍♂️🕵🏼‍♀️🕵🏼‍♀️👨🏼‍⚕️👩🏼‍🍳👨🏼‍🎓👩🏼‍🏫👨🏼‍🏭👩🏾‍💼👨🏼‍🔧👩🏽‍🎨👨🏻‍🚒👩🏻‍🚀"
Problems	Please fix this everytime I play Fortnite now it kicks me out of the game.
Stupid game	I Accidentally shot the trader and he won’t give my stuff back I hate this game I’ve had to delete the game 4 times because of that!
Trash	This game is literally garbage I threw my pc across the road
This game is awesome	This game is awesome and is hard to get wins that’s why I like it so much. I got 600 wins but I played it sense it released.
;-;	I love fortnite it’s awesome but... it’s tooooo laggy and there’s to many updates! I like it but there’s just toooooo many updates
Hexil jump	It’s a amazing app
Why Epic, I want answers	Why did you put the Nividia bundle in the shop I love fortnite so much but it just got me so upset since I am an owner before it hit the item shop. Can you please clarify or give the OG owners a reward. Thx
Paper.io 2	Good but a bit laggy.
Fortnite	I also like this game beacoyse it is fun on my ps4 I do not want you guys to run out of bussinis
Potential	Has high hopes
Online	Will you make it to where you can play with real people
Fortnite don’t work no more	I love this game so much I play on mobile and went I get in games the map or the area I land at everything is pixel so I have to wait a few minutes until it’s not pixel and people kill me because I can’t see the weapons and also when I’m in games it crashes. Please fix this it’s getting really annoying or I’ll sue you guys I’m serious my dad is a doctor and my mom is a lawyer
You should add a refresh button	Love the game so much! but it takes ages for locations to refresh, (around two days) but I just can’t wait that long because I love this game too much! so when you click on a location could you add a feature where you can instantly refresh for some in game currency? Hope it’s not too much to ask for.
Best game ever	I love the game I hope one day I can play with ninja
Use code Tfue	It’s a great game and the most fun
I pod	You need to bring fortnite to the I pod touch, but I still love fortnite
Amazing	It makes me feel amazing it’s so nice and soothing!!
Can we get some use out of the sofa or bed?	"Can our survivor take a nap and restore energy faster? 
Thanks! Love the game!"
Explanation	Good game but boring because the same thing always happen. Please add unvaulted squads back!!!
You guys have great taste but one thing you gotta do	Helix jump has inspired my kids to open up to there surroundings and because of you they get way more careful but all these adds now im not saying the adds are bad some of the adds make kids feel stressed out so you you can still have ads just don’t make it pop up almost every single minute please hope you understand
Frustrated	This game is quite addicting, however frustrating because as soon as I go into a bunker or am collecting supplies the game crashes!!!! Playing this morning it’s crashed on me 4 times already inside of a bunker ugggg!
Everything	I love
Data downloading	"Plz put less data for downloading and instead put that data in app download 

Cuse i have low speed connection and i have to wait like 3 hours with screen on to just download the data

If u fix this there is no problem at all"
Controller play	I think that epic games should add controller play. This will make the gameplay easier so more people can improve and enjoy the game a bit more.
Selfish	When my mom was about to purchase me the skin that I wanted when I checked to see if it was still there. epic games replaced it with a skin that costs 2.000 v bucks. and the other skin was a girl! Give me 10.000 v bucks or will rate 1 star. My scout is mama boy 747 and mama is spelled with a y.
Great!	This is a great game and I have been playing for 1 month now and the game is great!
Horrible	Right when I log in I see these HORRIBLE graphics and when I try to play with my brother on playground or creative it kicks me out!!!REEEEEEE!
Dear Fortnite	"Fortnite is a great game I play as a mobile player but I bought a Mocute 054 controller. And it says  on happychick emulator fortnite does not work on iOS11 and iOS12, please could you tell happychick to now play fortnite on iOS11 and iOS12.

Thank you"
Work for iPhone 6	I think it sad because fortnite works with new devices but not all iPhones I have a iPhone 6 so épico games pls allow all devices to play fortnite(iPhone 6)
Fart	Gay in you
Amazing Game!!!!!	I love it! All I have to say.best game ever
I love it	This game is  so fun get it play have fun have so much fun
Amazing	Great game
Great but downgraded sense season 4	I used to love this game but then came season 7 and epic just started running out of ideas definitely a great game but they have just started downgraded sense season 6 and if you start playing now it would be great but if you played season 4 they just kind of took the game down in so many levels
Revert	We need to bring back health per kill because I want to watch my favorite streamers and they are quitting competitive fortnite I think because of that :(
I don’t like it	The zombies
Poop	And
Great game	This game has really good quality and good graphics. I also love the way u can now play on controllers.😀😀
Fix it	When I press watch add to continue after the add it makes me start a new game. I still like your game just please fix it. I’m begging you I wanna play this game the right way.
I am the one that kills every one	So look i just want the orgs in the game also the eggs of the dragons shall hatch and i want foods like donuts and pizzas and all of these. Also i want epic games to hand me 5000000 dollars
Amazing game	I have played since season 5 and I always play with friends it is amazing
Fun but annoying	I love this game that’s why I gave 4 star rating, but the glitches need to be fixed. I’m trying to get a new skin and cover 50% of the map but it’s impossible with these problems, I was at 20% and no one was around me what so ever and I was killed, also when I was killed in a previous game I selected free life and when I came back I had no land area only me flying around the map and of course got killed when there was no safe place to go to. Great game but needs a lot of improvement!
Please fix this	This is one of the most fun games I have ever played and the fact that I can be on a phone and do as well as someone on a console is awesome BUT when I try to shoot an AR it lags like crazy and I have tried a lot of stuff like deleting some of my apps or powering off my phone and then powering and it will not help so I would be very grateful if someone at epic could do something about it. i would appreciate it so much. And the AR lag is making me hate the game and I would hate to stop playing especially since I have spent over 500 Dollars on skins and the battlepass. Thank you for reading my feedback god bless and hope you fix this bug yours truly A pre schooler
Love fortnite	"Memes i like:
Me:hi
Beef boss:take the L
Beef boss killed Me
Me:hello friend
Noob master 123:take the L
Me:oh its on
Me killed noob master 123
Me:take the L
Me:I'm a banana hey"
LAGGG	THIS GAME IS SOO GOOD!!! But it needs to stop lagging on my iPad and also when I play with my friends it lags allot so we only play a bit.
Great but...	I love fortnite, but I can’t play it mobile. I have an iPhone 6 but every time I download fortnite it says it only works for iPhones 6s and up. Can you please try to make it in the future where I can play fortnite on iPhone 6. Thank you.
Why	I did nothing but I am not always going to the game
Great work epic	Fortnite is a awesome
Fortnite	It is a awesome free to play game with so many things to do .
Ok game	YOUR GAME IS cool just TAKE THE ADS OUT!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!.😇
Hey	So I have a iPhone 6 and it does not work and I don’t know why I would like them to make it be able to work for iPhone 6
AAA+DDIICCTTIINNGG	I just can’t stop bouncin to the next bounceAbought !
One of the best games I have played	Been playing for almost 2 years I pretty good at the game
Best battle game royal game ever	You can kill people just like you can kill people in real life
I Can't Play Arena	So I Was Playing With My Friend ajsfrost08 Then He Is Stuck In The Loading Screen And Im In the spawn Island, When I Got into the battle bus I will Go Back To the Arena Loading Screen Fortnite is my favorite Game But That..... That Disappoints me Epic Games Please Fix That Please🙏
Could use a little improvement	The updates do not always load in plus for iOS devices there are specific downtimes at times and it just takes a long time. Overall really good game and but could use minimal work.
Helix jump one of the best games ever	I really really love this game and I have loved it since I downloaded it ... I think that anyone who plays this game will love it!!😁😁😁😁😁😁😁😁😁😁😆😁😆😁😁😆
So awesome	"I think this game is awesome I toys to have and now I think it’s 
Even awesome now"
The best game	It’s so cool because new thing get add in and more fun with my friends and me hope it stay good😱🙏
Interact	There is a bug on mobile when you want to interact or pick up a different item when using tap anywhere when I want to pick up a weapon it shoots instead swapping it I have to drop my item to change it
Best game ever	"Fortnite is the best game ever!!! And if anyone hates on it let them hate. But
Once they find out the truth they will feel silly."
Fortnite is so fun	I just can’t stop playing it’s so fun. I literally when I’m playing get hooked and I just can’t stop playing. When you turn the FPS high the graphics are the same as Xbox or ps4 so do that.
Awesome and addictive	This game is amazing but why are there so many ads aka annoying but overall awesome!
This game is soo gud!	Gucci gang
Se cierra el juego constantemente.	El juego se cierra en cada partida, lo que hace imposible poder jugar tranquilamente, además no se puede reingresar desde donde quedo el juego al cerrarse, tengo iPhone 7 por lo que debería funcionar correctamente.
HOW DO YOU PLAY THIS GAME	It is so annoying to play got a few reasons 1st it’s all spam combat shotgun spam or the spam drum gun and you take away the pump 2ed is semi auto sniper A SPAM SNIPER COME ON 3th it always crashes when I do good.     Butttttt it annoyingly addicting
Fortnite	It is a very good game it is usually an enjoyable game to play I have fun with my friends when I play it screaming laughing and having some fun
Excellent game but..........	It always crashes!!! I was in a game with 17 eliminations and 3 people left and boom suddenly on the home screen, just in the last hour I’ve been playing it’s crashed 7-8 times like seriously Epic Games FIX THE CRASHING ON IPADS!!
Game won’t load	The game is stuck on the loading screen, I haven’t play in Months!!!!!!!! I feel so left out!!!!!!!!!!!! I have commented before to fix this with no outcome. I have gone too far in this game to restart. At least give me some kind of guidance to fix this problem without restarting.
Toooo pricey	Game, Great. Prices, Not so great.
Hex Jump	Cool Game!
Best game ever!	Sometimes there a lag but it is the best battle royal game
life changing experience	right lads, i can defo say playing this game has made me feel ways i didn’t know i could feel, inspired me to great extenents but most of all i’ve had intense pleasures from this masterpiece 3/10
To the creator of last day on earth	I really like the game but the thing that I don’t like is that when you die you lose all the stuff and the energy.I don’t like it because when you die you have to go back to where you died and get your stuff and if you don’t have enough energy and the timer runs out of the place you permanently lose you stuff especially if you have good weapons.:((
Helix jump	This game is great. I am so crazily addicted! The ads are annoying, and the game glitches a lot. Otherwise, this game is the best!
